name,time,pressure1,pressure2,pressure3,pressure4,temperature1,temperature2,temperature3,temperature4,temperature5
test12,2024-03-23T11:12:30.639044097Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:32.399334131Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:32.428476896Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:12:40.637601689Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:40.843720395Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:12:42.397753012Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:42.493578053Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:12:50.635436306Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:51.060749421Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:12:52.398447486Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:12:52.556321194Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:13:00.6374026Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:01.270851768Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:13:02.401261468Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:02.620997589Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:13:10.640450656Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:11.489893969Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:13:12.396194533Z,0.172616467,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:12.678960084Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:13:20.643443096Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:21.70925262Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:13:22.400441796Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:22.751576881Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:13:30.640109514Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:31.913443907Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:13:32.402305972Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:32.813402276Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:13:40.646573575Z,NA,0.136774182,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:42.126756684Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:13:42.407727534Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:42.875528105Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:13:50.642616299Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:52.342295704Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:13:52.402701355Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:13:52.942815891Z,NA,NA,NA,NA,18.875,NA,NA,NA,NA
test12,2024-03-23T11:14:00.645538997Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:02.404284737Z,0.158279568,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:02.553079374Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:14:03.005681875Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:14:10.643166211Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:12.400735239Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:12.764817856Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:14:13.066738175Z,NA,NA,NA,NA,18.875,NA,NA,NA,NA
test12,2024-03-23T11:14:20.645775616Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:22.40686315Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:22.980776127Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:14:23.131594694Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:14:30.645231092Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:32.408823758Z,0.172616467,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:33.193816081Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:14:33.202751363Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:14:40.647440093Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:42.408190493Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:43.260136602Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:14:43.401756808Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:14:50.659123187Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:52.411187677Z,0.172616467,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:14:53.327331241Z,NA,NA,NA,NA,18.875,NA,NA,NA,NA
test12,2024-03-23T11:14:53.620483166Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:15:00.648211822Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:02.412681355Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:03.435969575Z,NA,NA,NA,NA,18.875,NA,NA,NA,NA
test12,2024-03-23T11:15:03.82731428Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:15:10.653121377Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:12.410984671Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:13.456129326Z,NA,NA,NA,NA,18.875,NA,NA,NA,NA
test12,2024-03-23T11:15:14.043100116Z,NA,NA,NA,NA,NA,19.75,NA,NA,NA
test12,2024-03-23T11:15:20.650548898Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:22.413701989Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:23.518247259Z,NA,NA,NA,NA,18.875,NA,NA,NA,NA
test12,2024-03-23T11:15:24.25629381Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:15:30.652104124Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:32.417652718Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:15:33.58195568Z,NA,NA,NA,NA,18.875,NA,NA,NA,NA
test12,2024-03-23T11:15:34.468713892Z,NA,NA,NA,NA,NA,19.75,NA,NA,NA
